# gene_name	gene_id	chr_hg38	start_hg38	end_hg38	strand_hg38	tss_hg38	LociDriverhg38	DisttoTSS	ISM	SumISMPearsonRtoCAGE,adult,brain	DriverPearsonRtoCAGE,adult,brain	DecreasedFractionofSumPearsonRWithoutDrivertoCAGE,adult,brain	IncreasedFractionofSumPearonRbyrankedDrivertoCAGE,adult,brain	NIndividualsWithSNV	FractionIndividualsWithSNV	IsMainDriver	ISMFractionofISMmaxinSNV	eQTL	maxeQTLgene	PearsonRGenotypetoObs	RefseqforwardCAGE,adult,brain	MaxISM+-1000TSS	StdISM+-1000ISM
LSG1	ENSG00000041802	3	194640788	194672477	-	194672477	194671396	-1081	-0.02704	0.6	0.51	0.05	0.07	1054	90.8	False	-0.071	0.057861	0.940756	0.1782	1.5499051	2.8342292308807373	0.10899414907811385
LSG1	ENSG00000041802	3	194640788	194672477	-	194672477	194671423	-1054	-0.03029	0.6	0.47	0.06	0.08	1061	91.4	False	-0.079	0.059119	0.940756	0.1799	1.5499051	2.8342292308807373	0.10899414907811385
LSG1	ENSG00000041802	3	194640788	194672477	-	194672477	194672305	-172	-0.035	0.6	0.36	0.06	0.1	1105	95.2	False	-0.091	0.042874	0.940756	0.1195	1.5499051	2.8342292308807373	0.10899414907811385
LSG1	ENSG00000041802	3	194640788	194672477	-	194672477	194672479	2	0.38354	0.6	0.29	0.13	0.49	702	60.5	True	1.0	-0.046664	0.940756	-0.1483	1.5499051	2.8342292308807373	0.10899414907811385
LSG1	ENSG00000041802	3	194640788	194672477	-	194672477	194672489	12	-0.03317	0.6	0.42	0.06	0.09	1061	91.4	False	-0.086	0.058895	0.940756	0.1793	1.5499051	2.8342292308807373	0.10899414907811385
LSG1	ENSG00000041802	3	194640788	194672477	-	194672477	194674486	2009	-0.02169	0.6	0.55	0.04	0.05	1061	91.4	False	-0.057	0.058954	0.940756	0.18	1.5499051	2.8342292308807373	0.10899414907811385
CAPG	ENSG00000042493	2	85394748	85418432	-	85418432	85418470	38	0.02863	1.0	0.97	0.74	0.9	790	68.0	True	0.922	0.19114	2.630798	0.2372	0.420923	5.954118490219116	0.10678495577444243
ANAPC4	ENSG00000053900	4	25377213	25418498	+	25377213	25377097	-116	0.5008	0.97	0.97	0.08	0.93	955	82.3	True	0.784	-0.103926	1.025719	-0.2822	8.72382	3.76314640045166	0.2436860226960804
SPA17	ENSG00000064199	11	124673798	124697518	+	124673798	124673946	148	2.84265	0.95	0.94	0.31	0.98	38	3.3	True	1.0	-0.458867	1.660613	-0.2529	24.290947	8.937978744506836	0.7789851675016073
UHRF1BP1	ENSG00000065060	6	34792015	34883138	+	34792015	34792177	162	-0.27074	0.97	0.92	0.05	0.62	625	53.8	False	-0.141	0.140439	0.833766	0.4681	13.467846	2.788125991821289	0.31186398292981304
UHRF1BP1	ENSG00000065060	6	34792015	34883138	+	34792015	34793179	1164	-0.97882	0.97	0.97	1.67	0.94	624	53.7	True	-0.511	0.139122	0.833766	0.4639	13.467846	2.788125991821289	0.31186398292981304
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144393094	-16255	0.05751	0.6	0.56	0.25	0.32	656	56.5	False	0.036	-0.292069	1.628666	-0.4761	28.750784	8.018985748291016	0.43639505581519333
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144393097	-16252	0.06636	0.6	0.37	0.29	0.45	656	56.5	True	0.041	-0.292883	1.628666	-0.4784	28.750784	8.018985748291016	0.43639505581519333
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144398573	-10776	0.05466	0.6	0.74	0.23	0.09	657	56.6	False	0.034	-0.291597	1.628666	-0.4804	28.750784	8.018985748291016	0.43639505581519333
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144405804	-3545	0.05539	0.6	0.68	0.24	0.2	657	56.6	False	0.035	-0.288304	1.628666	-0.4785	28.750784	8.018985748291016	0.43639505581519333
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144407713	-1636	-0.07581	0.6	0.21	0.06	0.17	181	15.6	False	-0.047	0.065225	1.628666	0.0584	28.750784	8.018985748291016	0.43639505581519333
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144409374	25	-1.5993	0.6	0.21	0.04	0.36	1	0.1	False	-1.0	0.697149	1.628666	0.0574	28.750784	8.018985748291016	0.43639505581519333
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144409400	51	1.12478	0.6	0.27	0.04	0.1	1	0.1	False	0.703	0.274512	1.628666	0.0226	28.750784	8.018985748291016	0.43639505581519333
CPSF1	ENSG00000071894	8	144393229	144409349	-	144409349	144409529	180	-0.4759	0.6	0.35	0.05	0.09	2	0.2	False	-0.298	-0.111987	1.628666	-0.0092	28.750784	8.018985748291016	0.43639505581519333
CA12	ENSG00000074410	15	63321378	63382161	-	63382161	63381924	-237	-0.76175	0.98	0.34	0.03	0.34	23	2.0	True	-1.0	-0.163326	3.541582	-0.0224	3.4386165	2.9903846085071564	0.22049515437519865
CA12	ENSG00000074410	15	63321378	63382161	-	63382161	63382096	-65	0.188	0.98	0.85	0.07	0.26	1057	91.0	False	0.247	0.599103	3.541582	0.3998	3.4386165	2.9903846085071564	0.22049515437519865
CA12	ENSG00000074410	15	63321378	63382161	-	63382161	63383242	1081	-0.27919	0.98	0.6	0.09	0.27	378	32.6	False	-0.367	0.225909	3.541582	0.1252	3.4386165	2.9903846085071564	0.22049515437519865
TIPIN	ENSG00000075131	15	66336206	66386746	-	66386746	66386581	-165	-0.82178	0.97	0.93	0.12	0.19	335	28.9	False	-0.363	-0.130075	1.295694	-0.2184	29.520794	8.204303741455078	0.8026287138090606
TIPIN	ENSG00000075131	15	66336206	66386746	-	66386746	66386717	-29	1.95856	0.97	0.74	0.12	0.68	161	13.9	True	0.866	0.423253	1.295694	0.483	29.520794	8.204303741455078	0.8026287138090606
TIMM21	ENSG00000075336	18	74148511	74160530	+	74148511	74146367	-2144	-0.9329	0.86	0.63	0.32	0.84	74	6.4	True	-0.281	-0.160104	0.704744	-0.1979	20.627754	8.975973129272461	0.7007917669152217
TIMM21	ENSG00000075336	18	74148511	74160530	+	74148511	74148347	-164	-0.62837	0.86	0.33	0.04	0.09	22	1.9	False	-0.19	-0.035415	0.704744	-0.0252	20.627754	8.975973129272461	0.7007917669152217
TIMM21	ENSG00000075336	18	74148511	74160530	+	74148511	74149043	532	-0.58995	0.86	0.8	0.15	0.13	74	6.4	False	-0.178	-0.160104	0.704744	-0.1979	20.627754	8.975973129272461	0.7007917669152217
TIMM21	ENSG00000075336	18	74148511	74160530	+	74148511	74149176	665	-0.62352	0.86	0.69	0.17	0.41	74	6.4	False	-0.188	-0.160104	0.704744	-0.1979	20.627754	8.975973129272461	0.7007917669152217
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72745772	-36287	0.0252	0.79	0.86	0.03	0.06	577	49.7	False	0.025	-0.102453	1.109064	-0.2676	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72768901	-13158	0.01267	0.79	0.78	0.04	0.06	1048	90.3	False	0.013	-0.078202	1.109064	-0.2092	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72781436	-623	-0.18451	0.79	0.43	0.03	0.09	4	0.3	False	-0.186	-0.111704	1.109064	-0.0155	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72781869	-190	0.99295	0.79	0.23	0.03	0.29	1	0.1	False	1.0	-0.054751	1.109064	-0.0076	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72781910	-149	0.73488	0.79	0.3	0.02	0.09	1	0.1	False	0.74	0.0	1.109064	nan	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72783284	1225	-0.05749	0.79	0.76	0.03	0.07	100	8.6	False	-0.058	0.143635	1.109064	0.1705	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72783909	1850	0.0307	0.79	0.87	0.1	0.11	1041	89.7	False	0.031	-0.084046	1.109064	-0.2262	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72784880	2821	0.04413	0.79	0.8	0.08	0.06	359	30.9	False	0.044	-0.042285	1.109064	-0.0931	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72795504	13445	-0.07122	0.79	0.71	-0.03	0.33	459	39.5	True	-0.072	0.067262	1.109064	0.161	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72851889	69830	0.02115	0.79	0.87	0.03	0.06	568	48.9	False	0.021	-0.119004	1.109064	-0.3045	9.893181	4.023719787597656	0.2724184196021491
PIBF1	ENSG00000083535	13	72782059	73016461	+	72782059	72852036	69977	0.01476	0.79	0.71	0.05	0.08	1043	89.8	False	0.015	-0.08283	1.109064	-0.222	9.893181	4.023719787597656	0.2724184196021491
GSTP1	ENSG00000084207	11	67583595	67586660	+	67583595	67583533	-62	-1.98883	0.93	0.92	0.17	0.82	747	64.3	True	-0.364	-0.113975	1.045928	-0.3037	60.040703	24.418354034423828	1.414691248557116
GSTP1	ENSG00000084207	11	67583595	67586660	+	67583595	67583625	30	-5.46371	0.93	0.16	0.03	0.17	7	0.6	False	-1.0	-0.365809	1.045928	-0.1063	60.040703	24.418354034423828	1.414691248557116
GSTP1	ENSG00000084207	11	67583595	67586660	+	67583595	67584114	519	0.61996	0.93	0.95	0.03	0.05	864	74.4	False	0.113	0.104682	1.045928	0.2843	60.040703	24.418354034423828	1.414691248557116
PILRA	ENSG00000085514	7	100367530	100400099	+	100367530	100367038	-492	-0.03071	1.0	0.99	0.0	0.95	373	32.1	True	-0.419	0.522615	3.48255	0.5474	0.30374146	0.17884398251771927	0.016820204217220875
USP40	ENSG00000085982	2	233475520	233566782	-	233566782	233566769	-13	1.77997	0.97	0.95	0.61	0.98	358	30.8	True	1.0	0.132923	1.482294	0.2446	15.733284	3.834104537963867	0.31623794057556515
C20orf194	ENSG00000088854	20	3249305	3407625	-	3407625	3371904	-35721	0.32247	0.9	0.85	0.09	0.13	415	35.7	False	0.051	0.051815	0.725073	0.1572	24.959179	21.200623035430908	1.1310971767670486
C20orf194	ENSG00000088854	20	3249305	3407625	-	3407625	3378491	-29134	0.39468	0.9	0.66	0.11	0.37	469	40.4	False	0.063	0.058421	0.725073	0.1911	24.959179	21.200623035430908	1.1310971767670486
C20orf194	ENSG00000088854	20	3249305	3407625	-	3407625	3380951	-26674	-0.97088	0.9	0.33	-0.0	0.14	25	2.2	False	-0.155	-0.028615	0.725073	-0.0217	24.959179	21.200623035430908	1.1310971767670486
C20orf194	ENSG00000088854	20	3249305	3407625	-	3407625	3400941	-6684	0.15171	0.9	0.84	0.03	0.05	415	35.7	False	0.024	0.050645	0.725073	0.1543	24.959179	21.200623035430908	1.1310971767670486
C20orf194	ENSG00000088854	20	3249305	3407625	-	3407625	3408365	740	0.46852	0.9	0.32	0.16	0.64	429	37.0	True	0.075	0.049922	0.725073	0.1529	24.959179	21.200623035430908	1.1310971767670486
C20orf194	ENSG00000088854	20	3249305	3407625	-	3407625	3430610	22985	-0.32741	0.9	0.73	-0.0	0.08	173	14.9	False	-0.052	-0.091601	0.725073	-0.185	24.959179	21.200623035430908	1.1310971767670486
P2RX7	ENSG00000089041	12	121132819	121188032	+	121132819	121133096	277	-24.18274	0.98	0.98	0.83	1.0	22	1.9	True	-1.0	-0.913118	2.443446	-0.2837	26.94402	24.182737350463867	1.2429518106013941
CWF19L1	ENSG00000095485	10	100232298	100267680	-	100267680	100267650	-30	0.58814	0.97	0.97	0.61	0.54	802	69.1	True	0.609	0.199754	0.801519	0.5565	10.755123	4.930088520050049	0.2724841616145462
CWF19L1	ENSG00000095485	10	100232298	100267680	-	100267680	100267779	99	0.96589	0.97	0.45	0.28	0.46	237	20.4	False	1.0	-0.046033	0.801519	-0.0831	10.755123	4.930088520050049	0.2724841616145462
IFT74	ENSG00000096872	9	26947039	27062930	+	26947039	26900207	-46832	0.09709	0.98	0.82	0.01	0.06	1123	96.7	False	0.101	0.027639	1.179835	0.0514	19.995771	6.6260986328125	0.4642308742710887
IFT74	ENSG00000096872	9	26947039	27062930	+	26947039	26904903	-42136	-0.36711	0.98	0.63	0.07	0.06	115	9.9	False	-0.382	-0.046113	1.179835	-0.0491	19.995771	6.6260986328125	0.4642308742710887
IFT74	ENSG00000096872	9	26947039	27062930	+	26947039	26933721	-13318	0.23435	0.98	0.71	0.02	0.09	116	10.0	False	0.244	-0.019427	1.179835	-0.02	19.995771	6.6260986328125	0.4642308742710887
IFT74	ENSG00000096872	9	26947039	27062930	+	26947039	26946478	-561	-0.48476	0.98	0.43	0.05	0.27	48	4.1	True	-0.505	-0.040744	1.179835	-0.0291	19.995771	6.6260986328125	0.4642308742710887
IFT74	ENSG00000096872	9	26947039	27062930	+	26947039	26946578	-461	-0.41148	0.98	0.57	0.26	0.14	351	30.2	False	-0.428	-0.033121	1.179835	-0.0576	19.995771	6.6260986328125	0.4642308742710887
OCEL1	ENSG00000099330	19	17226204	17229219	+	17226204	17226535	331	-0.45358	0.93	0.91	0.0	0.07	260	22.4	False	-0.177	-0.22319	1.229174	-0.335	19.196205	11.629318714141846	0.6716622096271959
OCEL1	ENSG00000099330	19	17226204	17229219	+	17226204	17226638	434	-0.45757	0.93	0.83	0.0	0.17	260	22.4	False	-0.179	-0.22319	1.229174	-0.335	19.196205	11.629318714141846	0.6716622096271959
OCEL1	ENSG00000099330	19	17226204	17229219	+	17226204	17227073	869	-0.76962	0.93	0.81	0.01	0.66	260	22.4	True	-0.301	-0.22319	1.229174	-0.335	19.196205	11.629318714141846	0.6716622096271959
OCEL1	ENSG00000099330	19	17226204	17229219	+	17226204	17227119	915	-0.83408	0.93	0.2	0.01	0.17	135	11.6	False	-0.326	0.069683	1.229174	0.0815	19.196205	11.629318714141846	0.6716622096271959
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50622240	-5933	0.53944	0.72	0.36	0.09	0.13	392	33.8	False	0.493	0.064135	1.433938	0.1017	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50624290	-3883	-0.07735	0.72	0.78	0.05	0.06	833	71.7	False	-0.071	0.083556	1.433938	0.1705	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50625611	-2562	-0.12105	0.72	0.77	0.09	0.11	920	79.2	False	-0.111	0.084172	1.433938	0.1685	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50626487	-1686	0.23377	0.72	0.53	0.08	0.12	355	30.6	False	0.214	-0.169127	1.433938	-0.2574	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50626801	-1372	-0.25795	0.72	0.45	0.06	0.09	160	13.8	False	-0.236	0.141026	1.433938	0.1419	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50627915	-258	0.44495	0.72	0.42	0.02	0.12	102	8.8	False	0.406	-0.022398	1.433938	-0.0182	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50628109	-64	-1.09495	0.72	0.3	0.09	0.42	17	1.5	True	-1.0	0.198603	1.433938	0.0703	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50628562	389	0.20432	0.72	0.65	0.13	0.16	457	39.4	False	0.187	-0.12962	1.433938	-0.2128	22.956938	11.826536178588867	0.5369366466427686
ARSA	ENSG00000100299	22	50622754	50628173	-	50628173	50631857	3684	0.09684	0.72	0.81	0.05	0.05	1047	90.2	False	0.088	-0.066125	1.433938	-0.1244	22.956938	11.826536178588867	0.5369366466427686
ASCC2	ENSG00000100325	22	29788608	29838304	-	29838304	29838229	-75	1.34796	0.96	0.83	0.15	0.78	132	11.4	True	0.452	0.163062	1.157047	0.2036	19.545298	4.575322151184082	0.358136625888239
ASCC2	ENSG00000100325	22	29788608	29838304	-	29838304	29838437	133	-0.68896	0.96	0.91	0.06	0.07	29	2.5	False	-0.231	-0.164209	1.157047	-0.0929	19.545298	4.575322151184082	0.358136625888239
VCPKMT	ENSG00000100483	14	50108632	50116600	-	50116600	50116365	-235	-1.75769	0.98	0.96	0.3	0.85	356	30.7	True	-0.493	-0.184684	1.405183	-0.3003	16.383005	7.364232063293457	0.5031406852034194
PABPC1L	ENSG00000101104	20	44910062	44959035	+	44910062	44909956	-106	-0.85073	0.98	0.97	0.42	0.92	524	45.1	True	-0.68	-0.190418	2.952766	-0.2157	3.3441281	7.866393566131592	0.5175152047378357
SETD6	ENSG00000103037	16	58515479	58521181	+	58515479	58515300	-179	-0.12888	0.78	0.92	0.12	0.09	538	46.3	False	-0.139	-0.106957	0.817663	-0.2814	10.824626	3.739985466003418	0.29762335807387647
SETD6	ENSG00000103037	16	58515479	58521181	+	58515479	58515417	-62	-0.34512	0.78	0.63	0.15	0.54	160	13.8	True	-0.372	-0.03746	0.817663	-0.0559	10.824626	3.739985466003418	0.29762335807387647
SETD6	ENSG00000103037	16	58515479	58521181	+	58515479	58515719	240	-0.38744	0.78	0.21	0.01	0.23	6	0.5	False	-0.418	-0.410385	0.817663	-0.0841	10.824626	3.739985466003418	0.29762335807387647
SETD6	ENSG00000103037	16	58515479	58521181	+	58515479	58516028	549	-0.33677	0.78	0.84	0.13	0.28	937	80.7	False	-0.363	-0.120355	0.817663	-0.3601	10.824626	3.739985466003418	0.29762335807387647
C19orf53	ENSG00000104979	19	13774168	13778462	+	13774168	13774495	327	-0.13729	0.98	0.99	0.08	1.01	499	43.0	True	-1.0	-0.077322	1.224348	-0.201	0.8458234	6.886714339256287	0.15889550637600555
C19orf53	ENSG00000104979	19	13774168	13778462	+	13774168	13774800	632	-0.05195	0.98	0.93	0.01	0.09	502	43.2	False	-0.378	-0.07726	1.224348	-0.2015	0.8458234	6.886714339256287	0.15889550637600555
ZNF419	ENSG00000105136	19	57487711	57496097	+	57487711	57488478	767	-0.20303	0.82	0.96	1.01	1.17	661	56.9	True	-1.0	0.118667	1.228015	0.3282	4.80122	1.7731926441192627	0.10785782229946972
CCDC94	ENSG00000105248	19	4247079	4269090	+	4247079	4246696	-383	0.11196	0.98	0.91	0.1	0.35	512	44.1	False	0.181	0.15342	1.450149	0.3565	11.099747	7.427782773971558	0.3522734038182965
CCDC94	ENSG00000105248	19	4247079	4269090	+	4247079	4247008	-71	0.20098	0.98	0.56	0.24	0.49	305	26.3	True	0.325	-0.014359	1.450149	-0.0286	11.099747	7.427782773971558	0.3522734038182965
CCDC94	ENSG00000105248	19	4247079	4269090	+	4247079	4247479	400	0.05652	0.98	0.93	0.03	0.05	594	51.2	False	0.091	0.133082	1.450149	0.339	11.099747	7.427782773971558	0.3522734038182965
ZNF175	ENSG00000105497	19	51571298	51592508	+	51571298	51571221	-77	0.29782	0.83	0.25	-0.09	0.16	712	61.3	False	0.549	0.037641	0.835349	0.134	3.8948717	1.3736820220947266	0.08975256595174631
ZNF175	ENSG00000105497	19	51571298	51592508	+	51571298	51571284	-14	0.27274	0.83	0.66	0.18	0.5	1088	93.7	True	0.502	0.07637	0.835349	0.2433	3.8948717	1.3736820220947266	0.08975256595174631
ZNF175	ENSG00000105497	19	51571298	51592508	+	51571298	51571508	210	0.09756	0.83	0.73	0.04	0.07	1088	93.7	False	0.18	0.076367	0.835349	0.2433	3.8948717	1.3736820220947266	0.08975256595174631
ZNF175	ENSG00000105497	19	51571298	51592508	+	51571298	51595998	24700	0.2378	0.83	0.74	-0.0	0.09	471	40.6	False	0.438	-0.027105	0.835349	-0.0829	3.8948717	1.3736820220947266	0.08975256595174631
NMRK1	ENSG00000106733	9	75060573	75088217	-	75088217	75083013	-5204	-0.19266	0.98	0.87	0.02	0.15	621	53.5	False	-0.136	-0.378323	1.524483	-0.6974	15.861521	17.244577407836914	0.8266826887190991
NMRK1	ENSG00000106733	9	75060573	75088217	-	75088217	75086967	-1250	-0.6722	0.98	0.32	0.04	0.32	144	12.4	False	-0.475	0.230281	1.524483	0.2211	15.861521	17.244577407836914	0.8266826887190991
NMRK1	ENSG00000106733	9	75060573	75088217	-	75088217	75087715	-502	-0.32423	0.98	0.71	0.02	0.37	850	73.2	True	-0.229	-0.198459	1.524483	-0.3902	15.861521	17.244577407836914	0.8266826887190991
LRP2BP	ENSG00000109771	4	185363879	185395899	-	185395899	185320224	-75675	-0.05601	0.77	0.18	0.04	0.09	738	63.6	False	-0.11	0.007285	1.814081	0.0146	5.765039	4.58419942855835	0.3156615042310076
LRP2BP	ENSG00000109771	4	185363879	185395899	-	185395899	185384548	-11351	0.0372	0.77	0.49	0.08	0.11	1087	93.6	False	0.073	0.076266	1.814081	0.1354	5.765039	4.58419942855835	0.3156615042310076
LRP2BP	ENSG00000109771	4	185363879	185395899	-	185395899	185392403	-3496	0.04077	0.77	0.3	0.15	0.13	1060	91.3	False	0.08	0.105605	1.814081	0.1982	5.765039	4.58419942855835	0.3156615042310076
LRP2BP	ENSG00000109771	4	185363879	185395899	-	185395899	185395425	-474	-0.06405	0.77	0.14	0.07	0.15	191	16.5	False	-0.126	0.012429	1.814081	0.0145	5.765039	4.58419942855835	0.3156615042310076
LRP2BP	ENSG00000109771	4	185363879	185395899	-	185395899	185395479	-420	0.14907	0.77	0.27	0.55	0.69	1060	91.3	True	0.293	0.108643	1.814081	0.2038	5.765039	4.58419942855835	0.3156615042310076
LRP2BP	ENSG00000109771	4	185363879	185395899	-	185395899	185425919	30020	0.03994	0.77	0.4	0.13	0.13	1076	92.7	False	0.079	0.095064	1.814081	0.1737	5.765039	4.58419942855835	0.3156615042310076
HTATIP2	ENSG00000109854	11	20363685	20383783	+	20363685	20364060	375	1.87622	0.98	0.93	0.43	0.96	934	80.4	True	1.0	0.185798	1.163539	0.4311	12.201581	9.360191106796265	0.6324146565104586
FOXRED1	ENSG00000110074	11	126269055	126278131	+	126269055	126269205	150	-1.08268	0.97	0.93	0.15	0.97	1102	94.9	True	-1.0	0.125687	0.983661	0.3107	17.37694	7.802029609680176	0.41902610550971314
HDDC2	ENSG00000111906	6	125219962	125302078	-	125302078	125266277	-35801	-0.0074	0.56	0.67	0.1	0.09	821	70.7	False	-0.026	-0.179606	0.952867	-0.4601	1.8765811	1.1364752054214478	0.11239820134226995
HDDC2	ENSG00000111906	6	125219962	125302078	-	125302078	125269756	-32322	-0.01446	0.56	0.8	0.16	0.07	353	30.4	False	-0.051	-0.327043	0.952867	-0.6285	1.8765811	1.1364752054214478	0.11239820134226995
HDDC2	ENSG00000111906	6	125219962	125302078	-	125302078	125272323	-29755	-0.00501	0.56	0.72	0.08	0.06	519	44.7	False	-0.018	-0.253817	0.952867	-0.558	1.8765811	1.1364752054214478	0.11239820134226995
HDDC2	ENSG00000111906	6	125219962	125302078	-	125302078	125277053	-25025	-0.0192	0.56	0.78	0.32	0.16	520	44.8	False	-0.068	-0.25358	0.952867	-0.5593	1.8765811	1.1364752054214478	0.11239820134226995
HDDC2	ENSG00000111906	6	125219962	125302078	-	125302078	125286477	-15601	-0.02964	0.56	0.87	0.51	0.06	520	44.8	False	-0.104	-0.25358	0.952867	-0.5593	1.8765811	1.1364752054214478	0.11239820134226995
